,date,datatype,station,attributes,value
0,2019-04-01T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",94
1,2019-04-02T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",128
2,2019-04-03T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",144
3,2019-04-04T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",83
4,2019-04-05T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",139
5,2019-04-06T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",189
6,2019-04-07T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",194
7,2019-04-08T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",228
8,2019-04-09T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",189
9,2019-04-10T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",39
10,2019-04-11T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",133
11,2019-04-12T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",106
12,2019-04-13T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",111
13,2019-04-14T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",39
14,2019-04-15T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",111
15,2019-04-16T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",228
16,2019-04-17T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",250
17,2019-04-18T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",183
18,2019-04-19T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",106
19,2019-04-20T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",178
20,2019-04-21T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",250
21,2019-04-22T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
22,2019-04-23T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",183
23,2019-04-24T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",178
24,2019-04-25T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",194
25,2019-04-26T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",172
26,2019-04-27T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",94
27,2019-04-28T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",111
28,2019-04-29T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",106
29,2019-04-30T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",83
30,2019-05-01T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",144
31,2019-05-02T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",83
32,2019-05-03T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",128
33,2019-05-04T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",172
34,2019-05-05T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",228
35,2019-05-06T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",211
36,2019-05-07T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",100
37,2019-05-08T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",200
38,2019-05-09T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",194
39,2019-05-10T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",144
40,2019-05-11T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",117
41,2019-05-12T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",111
42,2019-05-13T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",161
43,2019-05-14T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",217
44,2019-05-15T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",239
45,2019-05-16T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",250
46,2019-05-17T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",200
47,2019-05-18T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
48,2019-05-19T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",233
49,2019-05-20T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",139
50,2019-05-21T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",122
51,2019-05-22T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
52,2019-05-23T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",233
53,2019-05-24T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",239
54,2019-05-25T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
55,2019-05-26T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",233
56,2019-05-27T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",228
57,2019-05-28T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",211
58,2019-05-29T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",239
59,2019-05-30T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",256
60,2019-05-31T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
61,2019-06-01T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
62,2019-06-02T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",211
63,2019-06-03T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",194
64,2019-06-04T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
65,2019-06-05T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",283
66,2019-06-06T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",239
67,2019-06-07T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",256
68,2019-06-08T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",244
69,2019-06-09T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",239
70,2019-06-10T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",233
71,2019-06-11T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
72,2019-06-12T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",217
73,2019-06-13T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",200
74,2019-06-14T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
75,2019-06-15T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",211
76,2019-06-16T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",156
77,2019-06-17T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",194
78,2019-06-18T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",256
79,2019-06-19T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",222
80,2019-06-20T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",217
81,2019-06-21T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",222
82,2019-06-22T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",261
83,2019-06-23T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
84,2019-06-24T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",256
85,2019-06-25T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",294
86,2019-06-26T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",317
87,2019-06-27T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",317
88,2019-06-28T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",322
89,2019-06-29T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",306
90,2019-06-30T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",328
91,2019-07-01T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",317
92,2019-07-02T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",333
93,2019-07-03T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",300
94,2019-07-04T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",328
95,2019-07-05T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",328
96,2019-07-06T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",283
97,2019-07-07T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",250
98,2019-07-08T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",283
99,2019-07-09T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",311
100,2019-07-10T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",344
101,2019-07-11T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
102,2019-07-12T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",306
103,2019-07-13T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",344
104,2019-07-14T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",328
105,2019-07-15T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",333
106,2019-07-16T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
107,2019-07-17T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",333
108,2019-07-18T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",306
109,2019-07-19T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",339
110,2019-07-20T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",350
111,2019-07-21T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",261
112,2019-07-22T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",239
113,2019-07-23T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
114,2019-07-24T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
115,2019-07-25T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",294
116,2019-07-26T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",294
117,2019-07-27T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",317
118,2019-07-28T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",317
119,2019-07-29T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
120,2019-07-30T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",256
121,2019-07-31T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",244
122,2019-08-01T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
123,2019-08-02T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",283
124,2019-08-03T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",317
125,2019-08-04T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",317
126,2019-08-05T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",322
127,2019-08-06T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",294
128,2019-08-07T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",311
129,2019-08-08T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",306
130,2019-08-09T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",283
131,2019-08-10T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",300
132,2019-08-11T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
133,2019-08-12T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",289
134,2019-08-13T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",300
